document_name,field_name
24 Hour Report,Date of Service
Activity of Daily living (ADL) sheets,Date of Service
Activity of Daily living (ADL) sheets,Resident Name
Activity of Daily living (ADL) sheets,Signature Present
Additional Development Request,Date of Service
Additional Development Request,DCN
Additional Development Request,Medical Record Number
Additional Development Request,Medicare ID
Additional Development Request,Resident Name
Additional Documentation Request,Date of Service
Additional Documentation Request,DCN
Additional Documentation Request,Diagnosis
Additional Documentation Request,Medical Record Number
Additional Documentation Request,Medicare ID
Additional Documentation Request,Resident Name
ADL Document,Date of Service
Admission Record,Admission Date
Admission Record,Benefit Period
Admission Record,Claim number
Admission Record,Date of Birth
Admission Record,Date of Service
Admission Record,Diagnosis
Admission Record,Discharge Date
Admission Record,Hospital Name
Admission Record,Insurance ID
Admission Record,Insurance Name
Admission Record,NPI
Admission Record,Provider Name
Admission Record,Resident Name
Assessment Report,Date of Service
CAA Worksheet,Date of Service
Cardiology Report,Date of Service
Care Plans,Attending Physician
Care Plans,Date of Service
Care Plans,Resident Name
Certification and Recertification,Admission Date
Certification and Recertification,Date of Service
Certification and Recertification,Date of Signature
Certification and Recertification,Physician/nurse practitioner (NP)/physician assistant (PA) signature
Certification and Recertification,Plan of Care
Certification and Recertification,Resident Name
Certification and Recertification,Services Required
Clinical Documentation from nursing,Date of Service
Clinical Documentation from nursing,Resident Name
Clinical Documentation from therapy services,Date of Service
Clinical Documentation from therapy services,Resident Name
Common Working File,Date of Service
Consent to Treatment,Consent Date
Consent to Treatment,Consent Type
Consent to Treatment,Date of Service
Consent to Treatment,Resident Name
Consult note,Admission Date
Consult note,Date of Service
Consult note,Discharge Date
Consult note,Nurse Practitioner Signature Present?
Consult note,Physician Signature Present?
Consult note,Reason for Hospital Stay
Consult note,Resident Name
Copy of ADR / DDE,Date of Service
Copy of UB-04,Date of Service
Coverage Summary Letter Rehab and/or Nursing,Date of Service
Coversheet,Admission Date
Coversheet,Benefit Period
Coversheet,Claim number
Coversheet,Date of Birth
Coversheet,Date of Service
Coversheet,Diagnosis
Coversheet,Discharge Date
Coversheet,Hospital Name
Coversheet,Insurance ID
Coversheet,Insurance Name
Coversheet,NPI
Coversheet,Provider Name
Coversheet,PTAN
Coversheet,Resident Name
Coversheet,Xref Number
Daily Skilled Nurse's Notes,Date of Service
